Saint,Miracle,Feat,Other Factoids,Something Fishy,Sources
Cassian_of_Tangier,,,,,wikipedia as interpreted by spellsoftruth
Cassius_of_Clermont,,,,,wikipedia as interpreted by spellsoftruth
Cassius_of_Narni,,,,,wikipedia as interpreted by spellsoftruth
Castinus_of_Byzantium,,,,,wikipedia as interpreted by spellsoftruth
Castor_of_Apt,,,,,wikipedia as interpreted by spellsoftruth
Castor_of_Karden,,,,,wikipedia as interpreted by spellsoftruth
Castritian,,,,,wikipedia as interpreted by spellsoftruth
Castulus,,,,,wikipedia as interpreted by spellsoftruth
Castus_and_Emilius,,,,,wikipedia as interpreted by spellsoftruth
Catald,,,,,wikipedia as interpreted by spellsoftruth
Catellus_of_Castellammare,,,,,wikipedia as interpreted by spellsoftruth
Caterina_Cittadini,,,,,wikipedia as interpreted by spellsoftruth
Caterina_Volpicelli,,,,,wikipedia as interpreted by spellsoftruth
Catervus,,,,,wikipedia as interpreted by spellsoftruth
Catherine_Booth,,,,,wikipedia as interpreted by spellsoftruth
Catherine_Jarrige,,,,,wikipedia as interpreted by spellsoftruth
Catherine_Schneider,,,,,wikipedia as interpreted by spellsoftruth
Catherine_Winkworth,,,,,wikipedia as interpreted by spellsoftruth
Catherine_de_Ricci,,,,,wikipedia as interpreted by spellsoftruth
Catherine_de_Saint-Augustin,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Alexandria,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Bologna,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Genoa,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Palma,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Racconigi,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Ricci,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Siena,,,,,wikipedia as interpreted by spellsoftruth
Catherine_of_Vadstena,,,,,wikipedia as interpreted by spellsoftruth
Catholic_priest,,,,,wikipedia as interpreted by spellsoftruth
Cathr%C3%B3e_of_Metz,,,,,wikipedia as interpreted by spellsoftruth
Caucasian_Albania,,,,,wikipedia as interpreted by spellsoftruth
Ceccardus_of_Luni,,,,,wikipedia as interpreted by spellsoftruth
Cecilia_(saint),,,,,wikipedia as interpreted by spellsoftruth
Cecilia_Eusepi,,,,,wikipedia as interpreted by spellsoftruth
Cedd,,,,,wikipedia as interpreted by spellsoftruth
Ceferino_Gim%C3%A9nez_Malla,,,,,wikipedia as interpreted by spellsoftruth
Cellach_of_Armagh,,,,,wikipedia as interpreted by spellsoftruth
Cellach_of_Killala,,,,,wikipedia as interpreted by spellsoftruth
Celsa_and_Nona,,,,,wikipedia as interpreted by spellsoftruth
Cenn_F%C3%A1elad_mac_Ailella,,,,,wikipedia as interpreted by spellsoftruth
Centola_and_Helen,,,,,wikipedia as interpreted by spellsoftruth
Centwine_of_Wessex,,,,,wikipedia as interpreted by spellsoftruth
Cenydd,,,,,wikipedia as interpreted by spellsoftruth
Ceolfrith,,,,,wikipedia as interpreted by spellsoftruth
Ceolwulf_of_Northumbria,,,,,wikipedia as interpreted by spellsoftruth
Cephas_of_Iconium,,,,,wikipedia as interpreted by spellsoftruth
Ceraunus,,,,,wikipedia as interpreted by spellsoftruth
Cerbonius,,,,,wikipedia as interpreted by spellsoftruth
Cerneuf,,,,,wikipedia as interpreted by spellsoftruth
Ceslaus,,,,,wikipedia as interpreted by spellsoftruth
Ceslaus_of_Poland,,,,,wikipedia as interpreted by spellsoftruth
Cessianus,,,,,wikipedia as interpreted by spellsoftruth
Cettin,,,,,wikipedia as interpreted by spellsoftruth
Cewydd,,,,,wikipedia as interpreted by spellsoftruth
Chad_of_Mercia,,,,,wikipedia as interpreted by spellsoftruth
Charalampus,,,,,wikipedia as interpreted by spellsoftruth
Charbel_(martyr),,,,,wikipedia as interpreted by spellsoftruth
Charbel_Makhlouf,,,,,wikipedia as interpreted by spellsoftruth
Charitable_Works_Foundation_of_Sister_Dulce,,,,,wikipedia as interpreted by spellsoftruth
Charitina_of_Amisus,,,,,wikipedia as interpreted by spellsoftruth
Charitina_of_Lithuania,,,,,wikipedia as interpreted by spellsoftruth
Chariton_the_Confessor,,,,,wikipedia as interpreted by spellsoftruth
Charlemagne,,,,,wikipedia as interpreted by spellsoftruth
Charles_Borromeo,,,,,wikipedia as interpreted by spellsoftruth
Charles_Fox_(missionary),,,,,wikipedia as interpreted by spellsoftruth
Charles_Garnier_(missionary),,,,,wikipedia as interpreted by spellsoftruth
Charles_I_of_Austria,,,,,wikipedia as interpreted by spellsoftruth
Charles_Lowder,,,,,wikipedia as interpreted by spellsoftruth
Charles_Lwanga,,,,,wikipedia as interpreted by spellsoftruth
Charles_Mackenzie_(bishop),,,,,wikipedia as interpreted by spellsoftruth
Charles_Spinola,,,,,wikipedia as interpreted by spellsoftruth
Charles_of_Blois,,,,,wikipedia as interpreted by spellsoftruth
Charles_of_Mount_Argus,,,,,wikipedia as interpreted by spellsoftruth
Charles_of_Sezze,,,,,wikipedia as interpreted by spellsoftruth
Charles_the_Good,,,,,wikipedia as interpreted by spellsoftruth
Chelidonia,,,,,wikipedia as interpreted by spellsoftruth
Chiaffredo,,,,,wikipedia as interpreted by spellsoftruth
Chiara_Badano,,,,,wikipedia as interpreted by spellsoftruth
Child_Martyrs_of_Tlaxcala,,,,,wikipedia as interpreted by spellsoftruth
Chinese_Martyrs,,,,,wikipedia as interpreted by spellsoftruth
Christian_of_Clogher,,,,,wikipedia as interpreted by spellsoftruth
Christina_of_Bolsena,,,,,wikipedia as interpreted by spellsoftruth
Christina_of_Persia,,,,,wikipedia as interpreted by spellsoftruth
Christina_of_Stommeln,,,,,wikipedia as interpreted by spellsoftruth
Christopher_Bales,,,,,wikipedia as interpreted by spellsoftruth
Christopher_Buxton_(martyr),,,,,wikipedia as interpreted by spellsoftruth
Christopher_Robinson_(priest),,,,,wikipedia as interpreted by spellsoftruth
Christopher_Wharton,,,,,wikipedia as interpreted by spellsoftruth
Chrodegang,,,,,wikipedia as interpreted by spellsoftruth
Chrodoara,,,,,wikipedia as interpreted by spellsoftruth
Chromatius,,,,,wikipedia as interpreted by spellsoftruth
Chrysanthus_and_Daria,,,,,wikipedia as interpreted by spellsoftruth
Chrysostomos_of_Smyrna,,,,,wikipedia as interpreted by spellsoftruth
Chusdazat,,,,,wikipedia as interpreted by spellsoftruth
Cian%C3%A1n,,,,,wikipedia as interpreted by spellsoftruth
Ciar%C3%A1n_of_Clonmacnoise,,,,,wikipedia as interpreted by spellsoftruth
Ciar%C3%A1n_of_Saigir,,,,,wikipedia as interpreted by spellsoftruth
Ciriaco_Mar%C3%ADa_Sancha_y_Herv%C3%A1s,,,,,wikipedia as interpreted by spellsoftruth
Cissa_of_Crowland,,,,,wikipedia as interpreted by spellsoftruth
Cl%C3%A9ment_of_Metz,,,,,wikipedia as interpreted by spellsoftruth
Clare_of_Assisi,,,,,wikipedia as interpreted by spellsoftruth
Clare_of_Montefalco,,,,,wikipedia as interpreted by spellsoftruth
Clare_of_Rimini,,,,,wikipedia as interpreted by spellsoftruth
Clateus,,,,,wikipedia as interpreted by spellsoftruth
Claude_La_Colombi%C3%A8re,,,,,wikipedia as interpreted by spellsoftruth
Claude_de_la_Colombi%C3%A8re,,,,,wikipedia as interpreted by spellsoftruth
Claude_de_la_Colombiere,,,,,wikipedia as interpreted by spellsoftruth
Claudine_Th%C3%A9venet,,,,,wikipedia as interpreted by spellsoftruth
Claudine_Thevenet,,,,,wikipedia as interpreted by spellsoftruth
Claudio_Granzotto,,,,,wikipedia as interpreted by spellsoftruth
Claudius_of_Besan%C3%A7on,,,,,wikipedia as interpreted by spellsoftruth
Clelia_Barbieri,,,,,wikipedia as interpreted by spellsoftruth
Clelia_Merloni,,,,,wikipedia as interpreted by spellsoftruth
Clement_Marau,,,,,wikipedia as interpreted by spellsoftruth
Clement_Mary_Hofbauer,,,,,wikipedia as interpreted by spellsoftruth
Clement_Sheptytsky,,,,,wikipedia as interpreted by spellsoftruth
Clement_of_Alexandria,,,,,wikipedia as interpreted by spellsoftruth
Clement_of_Ancyra,,,,,wikipedia as interpreted by spellsoftruth
Clement_of_Ohrid,,,,,wikipedia as interpreted by spellsoftruth
Clement_of_Okhrida,,,,,wikipedia as interpreted by spellsoftruth
Clement_of_Sardice,,,,,wikipedia as interpreted by spellsoftruth
Clemente_Marchisio,,,,,wikipedia as interpreted by spellsoftruth
Clerus,,,,,wikipedia as interpreted by spellsoftruth
Clodoald,,,,,wikipedia as interpreted by spellsoftruth
Clodulf,,,,,wikipedia as interpreted by spellsoftruth
Clotilde,,,,,wikipedia as interpreted by spellsoftruth
Clydog,,,,,wikipedia as interpreted by spellsoftruth
Cointha,,,,,wikipedia as interpreted by spellsoftruth
Colette_of_Corbie,,,,,wikipedia as interpreted by spellsoftruth
Collen,,,,,wikipedia as interpreted by spellsoftruth
Colm%C3%A1n_Elo,,,,,wikipedia as interpreted by spellsoftruth
Colm%C3%A1n_mac_Com%C3%A1n,,,,,wikipedia as interpreted by spellsoftruth
Colm%C3%A1n_of_Cloyne,,,,,wikipedia as interpreted by spellsoftruth
Colm%C3%A1n_of_Dromore,,,,,wikipedia as interpreted by spellsoftruth
Colm%C3%A1n_of_Kilroot,,,,,wikipedia as interpreted by spellsoftruth
Colm%C3%A1n_of_Lann,,,,,wikipedia as interpreted by spellsoftruth
Colm%C3%A1n_of_Lindisfarne,,,,,wikipedia as interpreted by spellsoftruth
Colman_mac_Duagh,,,,,wikipedia as interpreted by spellsoftruth
Colman_of_Kilmacduagh,,,,,wikipedia as interpreted by spellsoftruth
Colman_of_Templeshambo,,,,,wikipedia as interpreted by spellsoftruth
Coloman_of_Stockerau,,,,,wikipedia as interpreted by spellsoftruth
Colomba_Gabriel,,,,,wikipedia as interpreted by spellsoftruth
Colossae,,,,,wikipedia as interpreted by spellsoftruth
Columb_the_Smith,,,,,wikipedia as interpreted by spellsoftruth
Columba,,,,,wikipedia as interpreted by spellsoftruth
Columba_Marmion,,,,,wikipedia as interpreted by spellsoftruth
Columba_of_Cordoba,,,,,wikipedia as interpreted by spellsoftruth
Columba_of_Cornwall,,,,,wikipedia as interpreted by spellsoftruth
Columba_of_Rieti,,,,,wikipedia as interpreted by spellsoftruth
Columba_of_Sens,,,,,wikipedia as interpreted by spellsoftruth
Columba_of_Spain,,,,,wikipedia as interpreted by spellsoftruth
Columba_of_Terryglass,,,,,wikipedia as interpreted by spellsoftruth
Columbanus,,,,,wikipedia as interpreted by spellsoftruth
Comgall,,,,,wikipedia as interpreted by spellsoftruth
Conal,,,,,wikipedia as interpreted by spellsoftruth
Concordius_of_Spoleto,,,,,wikipedia as interpreted by spellsoftruth
Congar_of_Congresbury,,,,,wikipedia as interpreted by spellsoftruth
Conleth,,,,,wikipedia as interpreted by spellsoftruth
Conon_of_Naso,,,,,wikipedia as interpreted by spellsoftruth
Conon_of_Perga,,,,,wikipedia as interpreted by spellsoftruth
Conor_O%27Devany,,,,,wikipedia as interpreted by spellsoftruth
Conrad_Birndorfer_of_Parzham,,,,,wikipedia as interpreted by spellsoftruth
Conrad_of_Ascoli,,,,,wikipedia as interpreted by spellsoftruth
Conrad_of_Bavaria,,,,,wikipedia as interpreted by spellsoftruth
Conrad_of_Constance,,,,,wikipedia as interpreted by spellsoftruth
Conrad_of_Offida,,,,,wikipedia as interpreted by spellsoftruth
Conrad_of_Parzham,,,,,wikipedia as interpreted by spellsoftruth
Conrad_of_Piacenza,,,,,wikipedia as interpreted by spellsoftruth
Constabilis,,,,,wikipedia as interpreted by spellsoftruth
Constantin_Br%C3%A2ncoveanu,,,,,wikipedia as interpreted by spellsoftruth
Constantina,,,,,wikipedia as interpreted by spellsoftruth
Constantine_I,,,,,wikipedia as interpreted by spellsoftruth
Constantine_VI,,,,,wikipedia as interpreted by spellsoftruth
Constantine_of_Murom,,,,,wikipedia as interpreted by spellsoftruth
Constantine_of_Strathclyde,,,,,wikipedia as interpreted by spellsoftruth
Constantine_the_Great,,,,,wikipedia as interpreted by spellsoftruth
Constantine_the_Jew,,,,,wikipedia as interpreted by spellsoftruth
Constantius_(Theban_Legion),,,,,wikipedia as interpreted by spellsoftruth
Constantius_of_Aquino,,,,,wikipedia as interpreted by spellsoftruth
Constantius_of_Perugia,,,,,wikipedia as interpreted by spellsoftruth
Contardo_Ferrini,,,,,wikipedia as interpreted by spellsoftruth
Contentius,,,,,wikipedia as interpreted by spellsoftruth
Conventual_Franciscans,,,,,wikipedia as interpreted by spellsoftruth
Conwall,,,,,wikipedia as interpreted by spellsoftruth
Corbinian,,,,,wikipedia as interpreted by spellsoftruth
Corebus,,,,,wikipedia as interpreted by spellsoftruth
Corentin_of_Quimper,,,,,wikipedia as interpreted by spellsoftruth
Cormac_Ua_Liath%C3%A1in,,,,,wikipedia as interpreted by spellsoftruth
Cormac_mac_Cuilenn%C3%A1in,,,,,wikipedia as interpreted by spellsoftruth
Cornelius_Hill,,,,,wikipedia as interpreted by spellsoftruth
Cornelius_of_Armagh,,,,,wikipedia as interpreted by spellsoftruth
Cornelius_the_Centurion,,,,,wikipedia as interpreted by spellsoftruth
Cosmas_and_Damian,,,,,wikipedia as interpreted by spellsoftruth
Cosmas_of_Aetolia,,,,,wikipedia as interpreted by spellsoftruth
Cosmas_of_Aphrodisia,,,,,wikipedia as interpreted by spellsoftruth
Cosmas_of_Maiuma,,,,,wikipedia as interpreted by spellsoftruth
County_of_Valois,,,,,wikipedia as interpreted by spellsoftruth
Cr%C3%B3n%C3%A1n_of_Roscrea,,,,,wikipedia as interpreted by spellsoftruth
Credan,,,,,wikipedia as interpreted by spellsoftruth
Crescens,,,,,wikipedia as interpreted by spellsoftruth
Crescentian,,,,,wikipedia as interpreted by spellsoftruth
Crescentinus,,,,,wikipedia as interpreted by spellsoftruth
Crescentius,,,,,wikipedia as interpreted by spellsoftruth
Crescentius_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Crispin,,,,,wikipedia as interpreted by spellsoftruth
Crispin_and_Crispian,,,,,wikipedia as interpreted by spellsoftruth
Crispin_and_Crispinian,,,,,wikipedia as interpreted by spellsoftruth
Crispin_of_Viterbo,,,,,wikipedia as interpreted by spellsoftruth
Crispina,,,,,wikipedia as interpreted by spellsoftruth
Crispus_of_Chalcedon,,,,,wikipedia as interpreted by spellsoftruth
Crist%C3%B3bal_Magallanes_Jara,,,,,wikipedia as interpreted by spellsoftruth
Cronan_of_Roscrea,,,,,wikipedia as interpreted by spellsoftruth
Cronan_of_Tuamgraney,,,,,wikipedia as interpreted by spellsoftruth
Cucuphas,,,,,wikipedia as interpreted by spellsoftruth
Cummian_Fada,,,,,wikipedia as interpreted by spellsoftruth
Cunibert,,,,,wikipedia as interpreted by spellsoftruth
Cunigunde_of_Luxembourg,,,,,wikipedia as interpreted by spellsoftruth
Curcodomus,,,,,wikipedia as interpreted by spellsoftruth
Curet%C3%A1n,,,,,wikipedia as interpreted by spellsoftruth
Cuthbert,,,,,wikipedia as interpreted by spellsoftruth
Cuthbert_Mayne,,,,,wikipedia as interpreted by spellsoftruth
Cuthbert_of_Canterbury,,,,,wikipedia as interpreted by spellsoftruth
Cuthburh,,,,,wikipedia as interpreted by spellsoftruth
Cuthman,,,,,wikipedia as interpreted by spellsoftruth
Cuthmann_of_Steyning,,,,,wikipedia as interpreted by spellsoftruth
Cwenburh,,,,,wikipedia as interpreted by spellsoftruth
Cwyllog,,,,,wikipedia as interpreted by spellsoftruth
Cybi,,,,,wikipedia as interpreted by spellsoftruth
Cyfyw,,,,,wikipedia as interpreted by spellsoftruth
Cynfarwy,,,,,wikipedia as interpreted by spellsoftruth
Cynidr,,,,,wikipedia as interpreted by spellsoftruth
Cynllo,,,,,wikipedia as interpreted by spellsoftruth
Cyprian,,,,,wikipedia as interpreted by spellsoftruth
"Cyprian,_Metropolitan_of_Kiev",,,,,wikipedia as interpreted by spellsoftruth
"Cyprian,_Metropolitan_of_Moscow",,,,,wikipedia as interpreted by spellsoftruth
Cyprian_Michael_Iwene_Tansi,,,,,wikipedia as interpreted by spellsoftruth
Cyprian_and_Justina,,,,,wikipedia as interpreted by spellsoftruth
Cyprian_of_Toulon,,,,,wikipedia as interpreted by spellsoftruth
Cyriacus,,,,,wikipedia as interpreted by spellsoftruth
Cyriacus_the_Anchorite,,,,,wikipedia as interpreted by spellsoftruth
Cyril,,,,,wikipedia as interpreted by spellsoftruth
Cyril_of_Alexandria,,,,,wikipedia as interpreted by spellsoftruth
Cyril_of_Beloozero,,,,,wikipedia as interpreted by spellsoftruth
Cyril_of_Jerusalem,,,,,wikipedia as interpreted by spellsoftruth
Cyril_of_Turaw,,,,,wikipedia as interpreted by spellsoftruth
Cyrillus_of_Trier,,,,,wikipedia as interpreted by spellsoftruth
"Cyrion,_Candidus,_and_companions",,,,,wikipedia as interpreted by spellsoftruth
Cyrion_and_Candidus,,,,,wikipedia as interpreted by spellsoftruth
Cyrus_and_John,,,,,wikipedia as interpreted by spellsoftruth
D%C3%ADchu,,,,,wikipedia as interpreted by spellsoftruth
D%C3%BAnchad_mac_Cinn_F%C3%A1elad,,,,,wikipedia as interpreted by spellsoftruth
Da%C3%AFa,,,,,wikipedia as interpreted by spellsoftruth
Dabheog,,,,,wikipedia as interpreted by spellsoftruth
Dacius_(bishop_of_Milan),,,,,wikipedia as interpreted by spellsoftruth
Dagobert_II,,,,,wikipedia as interpreted by spellsoftruth
Daig,,,,,wikipedia as interpreted by spellsoftruth
Dall%C3%A1n_Forgaill,,,,,wikipedia as interpreted by spellsoftruth
Dallan_Forgaill,,,,,wikipedia as interpreted by spellsoftruth
Dalmatia,,,,,wikipedia as interpreted by spellsoftruth
Dalmatius_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
Dalmatius_of_Pavia,,,,,wikipedia as interpreted by spellsoftruth
Dalmatius_of_Rodez,,,,,wikipedia as interpreted by spellsoftruth
Dalua_of_Tibradden,,,,,wikipedia as interpreted by spellsoftruth
Damian_of_Alexandria,,,,,wikipedia as interpreted by spellsoftruth
Damian_of_Pavia,,,,,wikipedia as interpreted by spellsoftruth
Damnat,,,,,wikipedia as interpreted by spellsoftruth
Daniel_Brottier,,,,,wikipedia as interpreted by spellsoftruth
Daniel_and_Companions,,,,,wikipedia as interpreted by spellsoftruth
Daniel_and_companions,,,,,wikipedia as interpreted by spellsoftruth
Daniel_of_Moscow,,,,,wikipedia as interpreted by spellsoftruth
Daniel_of_Padua,,,,,wikipedia as interpreted by spellsoftruth
Daniel_the_Stylite,,,,,wikipedia as interpreted by spellsoftruth
Daniil_Sihastrul,,,,,wikipedia as interpreted by spellsoftruth
"Danilo_II,_Serbian_Archbishop",,,,,wikipedia as interpreted by spellsoftruth
Dar%C3%ADo_Acosta_Zurita,,,,,wikipedia as interpreted by spellsoftruth
Dar_Lugdach,,,,,wikipedia as interpreted by spellsoftruth
Darerca_of_Ireland,,,,,wikipedia as interpreted by spellsoftruth
Dasius_of_Durostorum,,,,,wikipedia as interpreted by spellsoftruth
Dasya,,,,,wikipedia as interpreted by spellsoftruth
Dathus,,,,,wikipedia as interpreted by spellsoftruth
Datius,,,,,wikipedia as interpreted by spellsoftruth
Daughters_of_Jesus_(Spain),,,,,wikipedia as interpreted by spellsoftruth
Daumantas_of_Pskov,,,,,wikipedia as interpreted by spellsoftruth
Dausa_(bishop),,,,,wikipedia as interpreted by spellsoftruth
David_Galv%C3%A1n_Berm%C3%BAdez,,,,,wikipedia as interpreted by spellsoftruth
David_IV_of_Georgia,,,,,wikipedia as interpreted by spellsoftruth
David_I_of_Scotland,,,,,wikipedia as interpreted by spellsoftruth
David_Lewis_(Jesuit_priest),,,,,wikipedia as interpreted by spellsoftruth
David_Lewis_(martyr),,,,,wikipedia as interpreted by spellsoftruth
David_Rold%C3%A1n_Lara,,,,,wikipedia as interpreted by spellsoftruth
David_of_Munktorp,,,,,wikipedia as interpreted by spellsoftruth
David_of_Thessalonica,,,,,wikipedia as interpreted by spellsoftruth
David_the_Dendrite,,,,,wikipedia as interpreted by spellsoftruth
Decl%C3%A1n_of_Ardmore,,,,,wikipedia as interpreted by spellsoftruth
Decuman,,,,,wikipedia as interpreted by spellsoftruth
Defendens,,,,,wikipedia as interpreted by spellsoftruth
Deicolus,,,,,wikipedia as interpreted by spellsoftruth
Deiniol,,,,,wikipedia as interpreted by spellsoftruth
Demetrian,,,,,wikipedia as interpreted by spellsoftruth
Demetrius_I_of_Georgia,,,,,wikipedia as interpreted by spellsoftruth
Demetrius_of_Thessaloniki,,,,,wikipedia as interpreted by spellsoftruth
Demiana,,,,,wikipedia as interpreted by spellsoftruth
Denis,,,,,wikipedia as interpreted by spellsoftruth
Denis_Ssebuggwawo_Wasswa,,,,,wikipedia as interpreted by spellsoftruth
Denis_of_the_Nativity,,,,,wikipedia as interpreted by spellsoftruth
"Denise,_Dativa,_Leontia,_Tertius,_Emilianus,_Boniface,_Majoricus,_and_Servus",,,,,wikipedia as interpreted by spellsoftruth
Deodatus_of_Nevers,,,,,wikipedia as interpreted by spellsoftruth
Derchairthinn,,,,,wikipedia as interpreted by spellsoftruth
Dermot_O%27Hurley,,,,,wikipedia as interpreted by spellsoftruth
Deruvian,,,,,wikipedia as interpreted by spellsoftruth
Desan_(bishop),,,,,wikipedia as interpreted by spellsoftruth
Desideratus,,,,,wikipedia as interpreted by spellsoftruth
Desiderius,,,,,wikipedia as interpreted by spellsoftruth
Desiderius_of_Auxerre,,,,,wikipedia as interpreted by spellsoftruth
Desiderius_of_Fontenelle,,,,,wikipedia as interpreted by spellsoftruth
Deusdedit_of_Canterbury,,,,,wikipedia as interpreted by spellsoftruth
Devasahayam_Pillai,,,,,wikipedia as interpreted by spellsoftruth
Devota,,,,,wikipedia as interpreted by spellsoftruth
Diadochos_of_Photiki,,,,,wikipedia as interpreted by spellsoftruth
Diana_degli_Andal%C3%B2,,,,,wikipedia as interpreted by spellsoftruth
Diarmaid_of_Armagh,,,,,wikipedia as interpreted by spellsoftruth
Diarmaid_the_Just,,,,,wikipedia as interpreted by spellsoftruth
Didacus_Joseph_of_Cadiz,,,,,wikipedia as interpreted by spellsoftruth
Didacus_of_Alcal%C3%A1,,,,,wikipedia as interpreted by spellsoftruth
Didier_of_Cahors,,,,,wikipedia as interpreted by spellsoftruth
Didier_of_Vienne,,,,,wikipedia as interpreted by spellsoftruth
Didymus_the_Blind,,,,,wikipedia as interpreted by spellsoftruth
Diego_De_Avezedo,,,,,wikipedia as interpreted by spellsoftruth
Diego_Luis_de_San_Vitores,,,,,wikipedia as interpreted by spellsoftruth
Diego_of_Alcala,,,,,wikipedia as interpreted by spellsoftruth
Digain,,,,,wikipedia as interpreted by spellsoftruth
Digna_and_Emerita,,,,,wikipedia as interpreted by spellsoftruth
Dimitry_of_Rostov,,,,,wikipedia as interpreted by spellsoftruth
Dina_B%C3%A9langer,,,,,wikipedia as interpreted by spellsoftruth
Dingad_of_Llandingat,,,,,wikipedia as interpreted by spellsoftruth
Diodorus_of_Tarsus,,,,,wikipedia as interpreted by spellsoftruth
"Dionysius,_Bishop_of_Corinth",,,,,wikipedia as interpreted by spellsoftruth
Dionysius_(bishop_of_Milan),,,,,wikipedia as interpreted by spellsoftruth
Dionysius_of_Corinth,,,,,wikipedia as interpreted by spellsoftruth
Dionysius_of_Vienne,,,,,wikipedia as interpreted by spellsoftruth
Dionysius_the_Areopagite,,,,,wikipedia as interpreted by spellsoftruth
Dioscorus,,,,,wikipedia as interpreted by spellsoftruth
Dioscorus_of_Aphrodito,,,,,wikipedia as interpreted by spellsoftruth
Divitianus,,,,,wikipedia as interpreted by spellsoftruth
Dmitry_Donskoy,,,,,wikipedia as interpreted by spellsoftruth
Dmitry_of_Uglich,,,,,wikipedia as interpreted by spellsoftruth
Doctor_of_the_Church,,,,,wikipedia as interpreted by spellsoftruth
Dogfan,,,,,wikipedia as interpreted by spellsoftruth
Domenico_Spadafora,,,,,wikipedia as interpreted by spellsoftruth
Dometius_of_Persia,,,,,wikipedia as interpreted by spellsoftruth
Domingo_Ib%C3%A1%C3%B1ez_de_Erquicia,,,,,wikipedia as interpreted by spellsoftruth
Domingo_Iturrate,,,,,wikipedia as interpreted by spellsoftruth
Dominguito_del_Val,,,,,wikipedia as interpreted by spellsoftruth
Dominic_Barberi,,,,,wikipedia as interpreted by spellsoftruth
Dominic_Collins,,,,,wikipedia as interpreted by spellsoftruth
Dominic_Henares,,,,,wikipedia as interpreted by spellsoftruth
Dominic_Ibanez_de_Erquicia,,,,,wikipedia as interpreted by spellsoftruth
Dominic_Loricatus,,,,,wikipedia as interpreted by spellsoftruth
Dominic_Savio,,,,,wikipedia as interpreted by spellsoftruth
Dominic_de_la_Calzada,,,,,wikipedia as interpreted by spellsoftruth
Dominic_of_Prussia,,,,,wikipedia as interpreted by spellsoftruth
Dominic_of_Silos,,,,,wikipedia as interpreted by spellsoftruth
Dominick_Trcka,,,,,wikipedia as interpreted by spellsoftruth
Domitian_of_Huy,,,,,wikipedia as interpreted by spellsoftruth
"Domnina,_Berenice,_and_Prosdoce",,,,,wikipedia as interpreted by spellsoftruth
Domnina_of_Syria,,,,,wikipedia as interpreted by spellsoftruth
Domninus_of_Fidenza,,,,,wikipedia as interpreted by spellsoftruth
Domnio,,,,,wikipedia as interpreted by spellsoftruth
Donald_of_Ogilvy,,,,,wikipedia as interpreted by spellsoftruth
Donatian_and_Rogatian,,,,,wikipedia as interpreted by spellsoftruth
Donatian_of_Reims,,,,,wikipedia as interpreted by spellsoftruth
Donation,,,,,wikipedia as interpreted by spellsoftruth
"Donatus,_Romulus,_Secundian,_and_86_Companions",,,,,wikipedia as interpreted by spellsoftruth
Donatus_of_Arezzo,,,,,wikipedia as interpreted by spellsoftruth
Donatus_of_Besan%C3%A7on,,,,,wikipedia as interpreted by spellsoftruth
Donatus_of_Euroea,,,,,wikipedia as interpreted by spellsoftruth
Donatus_of_Fiesole,,,,,wikipedia as interpreted by spellsoftruth
Donatus_of_Ripacandida,,,,,wikipedia as interpreted by spellsoftruth
Donatus_of_Zadar,,,,,wikipedia as interpreted by spellsoftruth
Donn%C3%A1n_of_Eigg,,,,,wikipedia as interpreted by spellsoftruth
Dorothea_of_Alexandria,,,,,wikipedia as interpreted by spellsoftruth
Dorothea_of_Caesarea,,,,,wikipedia as interpreted by spellsoftruth
Dorothea_of_Montau,,,,,wikipedia as interpreted by spellsoftruth
Dorotheus_of_Gaza,,,,,wikipedia as interpreted by spellsoftruth
Dorotheus_of_Tyre,,,,,wikipedia as interpreted by spellsoftruth
Dositheus_of_Tbilisi,,,,,wikipedia as interpreted by spellsoftruth
Dosoftei,,,,,wikipedia as interpreted by spellsoftruth
Drithelm,,,,,wikipedia as interpreted by spellsoftruth
Drostan,,,,,wikipedia as interpreted by spellsoftruth
Dubricius,,,,,wikipedia as interpreted by spellsoftruth
Duchy_of_Brabant,,,,,wikipedia as interpreted by spellsoftruth
Dunstan,,,,,wikipedia as interpreted by spellsoftruth
Dutherius,,,,,wikipedia as interpreted by spellsoftruth
Dwynwen,,,,,wikipedia as interpreted by spellsoftruth
Dyfnan,,,,,wikipedia as interpreted by spellsoftruth
Dyfodwg,,,,,wikipedia as interpreted by spellsoftruth
Dymphna,,,,,wikipedia as interpreted by spellsoftruth
Eadberht_of_Lindisfarne,,,,,wikipedia as interpreted by spellsoftruth
Eadburh_of_Bicester,,,,,wikipedia as interpreted by spellsoftruth
Eadburh_of_Winchester,,,,,wikipedia as interpreted by spellsoftruth
Eadfrith_of_Leominster,,,,,wikipedia as interpreted by spellsoftruth
Eadfrith_of_Lindisfarne,,,,,wikipedia as interpreted by spellsoftruth
Eadgyth_of_Aylesbury,,,,,wikipedia as interpreted by spellsoftruth
